start_time,end_time,duration_sec,total_keypresses,median_ikd,p95_ikd,mad,auto_correction_rate,space_rate,backspace_count,space_count
2025-09-04 08:37:16,2025-09-04 08:37:16,0.0,1,0,0,0,0.0,0.0,0,0
2025-09-04 08:37:16,2025-09-04 08:38:31,74.85,24,0.113,0.4248,0.0325,0.0,0.125,0,3
2025-09-15 16:58:10,2025-09-15 16:58:10,0.02,2,0.008,0.0116,0.004,0.0,1.0,0,2
2025-09-15 18:14:56,2025-09-15 18:15:02,5.69,2,0,0,0,0.0,0.0,0,0
2025-09-15 18:48:33,2025-09-15 18:48:46,13.32,59,0.105,0.1709,0.021,0.0169,0.1864,1,11
2025-09-15 18:48:45,2025-09-15 18:50:49,124.43,297,0.095,0.1856,0.021,0.0606,0.1852,18,55
2025-09-15 18:50:44,2025-09-15 18:52:34,109.36,211,0.0965,0.1866,0.0235,0.0427,0.2038,9,43
2025-09-15 18:57:26,2025-09-15 18:58:48,82.41,11,0.093,0.2005,0.035,0.0,0.1818,0,2
