start_time,end_time,duration_sec,total_keypresses,median_ikd,p95_ikd,mad,auto_correction_rate,space_rate,backspace_count,space_count
2025-09-17 10:50:37,2025-09-17 10:50:53,16.2,77,0.095,0.1702,0.021,0.0,0.2468,0,19
2025-09-17 12:29:00,2025-09-17 12:29:10,10.03,22,0.105,0.201,0.036,0.2273,0.0,5,0
2025-09-17 20:38:49,2025-09-17 20:38:53,4.17,9,0.181,0.2984,0.064,0.4444,0.1111,4,1
2025-09-17 21:11:41,2025-09-17 21:11:42,1.12,9,0.115,0.18,0.052,0.0,0.0,0,0
2025-09-18 00:42:08,2025-09-18 00:42:26,18.32,57,0.117,0.2096,0.03,0.0,0.193,0,11
2025-09-18 00:52:28,2025-09-18 00:52:36,7.39,29,0.145,0.245,0.04,0.3103,0.1034,9,3
2025-09-18 10:28:09,2025-09-18 10:28:35,26.06,51,0.11,0.2232,0.019,0.0196,0.098,1,5
2025-09-18 10:45:37,2025-09-18 10:46:07,30.51,76,0.108,0.2048,0.0305,0.0132,0.1974,1,15
2025-09-18 10:51:47,2025-09-18 10:52:30,43.05,188,0.109,0.187,0.031,0.1064,0.133,20,25
